dataset,model,objective,run_tag,smooth,scale,initial_prob,threshold,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,f1_mean,f1_std,f1_count,macro_f1_mean,macro_f1_std,macro_f1_count,iou_mean,iou_std,iou_count,accuracy_mean,accuracy_std,accuracy_count,brier_mean,brier_std,brier_count,pred_positive_rate_mean,pred_positive_rate_std,pred_positive_rate_count,abs_transition_count_error_mean,abs_transition_count_error_std,abs_transition_count_error_count,objective_label
sleep,gru,density_hard,objective_e20_bs32_eval5,none,4.0,0.2393167939518393,0.75,0.8539080409734491,0.008693081283332873,3,0.9412014989277591,0.004125419154807869,3,0.8954007078156815,0.0029337546971361784,3,0.9301179027428939,0.002141696334077529,3,0.8106198415261381,0.004803760679452176,3,0.947365989521512,0.0018829827087041458,3,0.08654273742391637,0.006270970576858357,3,0.2638078668987624,0.0038539388964962274,3,1247.6666666666667,34.31229128655403,3,BDL-Hard
sleep,gru,density_hard,objective_e20_bs32_eval5,none,4.0,0.0,0.75,0.8540834593710018,0.008823466483777033,3,0.9409265482102204,0.004086813240470716,3,0.8953721825453154,0.00301930849640809,3,0.9301048177415073,0.0022001290674802977,3,0.810573587719774,0.004943458270105076,3,0.9473650281531386,0.001928938360456198,3,0.08584223225318571,0.006271019752767202,3,0.2636772276187034,0.0038819679000886764,3,1239.0,38.0,3,BDL-Hard
sleep,gru,density_hard,objective_e20_bs32_eval5,none,4.0,0.5,0.75,0.8535845784172592,0.008643534704239664,3,0.941423668927199,0.004125242395731561,3,0.8953235837668777,0.0029148430941297763,3,0.9300588476914976,0.002128700231902396,3,0.810493320404729,0.004771853879227006,3,0.9473103102698924,0.0018726138081544953,3,0.08832037761579788,0.00623477513264801,3,0.26396988417433837,0.0038407027584119375,3,1253.0,32.18695387886216,3,BDL-Hard
sleep,gru,density_hard,objective_e20_bs32_eval5,none,4.0,0.5,0.8,0.8675001560092968,0.008133519841254027,3,0.9209669561460302,0.005748926191398952,3,0.893398065337539,0.0016401473962680618,3,0.9292407450676136,0.0012760580842699333,3,0.8073372765971473,0.002676774912586165,3,0.9473973942217061,0.001234677746712478,3,0.08832037761579788,0.00623477513264801,3,0.2540915303873588,0.003980903534053462,3,1044.6666666666667,84.10905619095563,3,BDL-Hard
sleep,gru,density_hard,objective_e20_bs32_eval5,none,4.0,0.2393167939518393,0.8,0.8676823535684045,0.008288122987124502,3,0.9205328821642014,0.005657723320585518,3,0.8932899532287295,0.0017546599799822087,3,0.9291769413358685,0.0013534959246335806,3,0.8071611033448528,0.002863124387039378,3,0.9473621173433417,0.0012942500673792027,3,0.08654273742391637,0.006270970576858357,3,0.25391904487838474,0.003999250944389201,3,1038.0,87.92610533851708,3,BDL-Hard
sleep,gru,density_hard,objective_e20_bs32_eval5,none,4.0,0.0,0.8,0.8677441288289813,0.008244533398701761,3,0.9200427914371598,0.005674557754138831,3,0.8930919961828893,0.0017257228866290135,3,0.929052835742514,0.0013334232987486838,3,0.806837814408801,0.00281479335924053,3,0.9472809885345072,0.001278375164511459,3,0.08584223225318571,0.006271019752767202,3,0.2537655998041372,0.003988372283197787,3,1032.6666666666667,88.27419403955682,3,BDL-Hard
sleep,gru,density_hard,objective_e20_bs32_eval5,none,4.0,0.0,0.7000000000000001,0.8376073922805262,0.00670957439564798,3,0.9534533207552306,0.0029012083126437865,3,0.8917658051544626,0.0025408015382544476,3,0.927271746472087,0.00185558158727308,3,0.8046790231479578,0.004135020641266784,3,0.9446061946732501,0.0016286370546398645,3,0.08584223225318571,0.006271019752767202,3,0.27243179518666355,0.003016660188513653,3,1396.6666666666667,17.897858344878433,3,BDL-Hard
sleep,gru,density_hard,objective_e20_bs32_eval5,none,4.0,0.2393167939518393,0.7000000000000001,0.8374224591030691,0.006653246963281056,3,0.9536155684594926,0.002840556218523997,3,0.8917323627334354,0.002541497520128201,3,0.9272441174014032,0.0018544178151110502,3,0.8046245686302331,0.004135455573971236,3,0.9445776473734989,0.0016253646803998094,3,0.08654273742391637,0.006270970576858357,3,0.27253799968723486,0.002981145110351233,3,1398.6666666666667,18.009256878986832,3,BDL-Hard
sleep,gru,density_hard,objective_e20_bs32_eval5,none,4.0,0.5,0.7000000000000001,0.8370203676423512,0.006555366636505421,3,0.9538868368013501,0.002753469284868654,3,0.8916235151045058,0.002526208525527643,3,0.9271608531970968,0.0018421055830172204,3,0.8044472691032497,0.004109703548520888,3,0.9444995094884923,0.001612909873940661,3,0.08832037761579788,0.00623477513264801,3,0.27274597571198944,0.002928449457675625,3,1412.0,14.730919862656235,3,BDL-Hard
sleep,gru,density_hard,objective_e20_bs32_eval5,none,2.0,0.5,0.7000000000000001,0.8578861298777616,0.00601924127341364,3,0.9153185266123058,0.007039152653537381,3,0.8856404995646594,0.00047520421068491457,3,0.9240299097508666,0.00034438933187277114,3,0.7947531669109801,0.0007654088482938886,3,0.9434296667170852,0.0004596587222717947,3,0.09859614848019645,0.004947701120687596,3,0.2553557297982323,0.0037581028147385797,3,595.0,32.07802986469088,3,BDL-Hard
sleep,gru,density_hard,objective_e20_bs32_eval5,none,2.0,0.2393167939518393,0.65,0.8356753184222163,0.0035940447281911443,3,0.9414410765213289,0.00520180623144043,3,0.8853970722666453,0.0008079461141832795,3,0.9231405649657728,0.0005090969918259464,3,0.7943616070340781,0.001300728896455169,3,0.9416756768246985,0.00041256840834414434,3,0.09631681113978978,0.0049735245184574315,3,0.26961284947876746,0.0026132602966057314,3,866.6666666666666,11.015141094572211,3,BDL-Hard
sleep,gru,density_hard,objective_e20_bs32_eval5,none,2.0,0.5,0.65,0.8346681968955547,0.0037758472075461445,3,0.9426139689694013,0.005399686201355265,3,0.885348291050161,0.0010636171097832764,3,0.9230736704473461,0.0006909404730947229,3,0.7942835400562208,0.0017124551469482063,3,0.9415749200782426,0.0005508620563974682,3,0.09859614848019645,0.004947701120687596,3,0.2702749919458694,0.0027039916431963584,3,884.6666666666666,14.189197769195172,3,BDL-Hard
sleep,gru,density_hard,objective_e20_bs32_eval5,none,2.0,0.2393167939518393,0.7000000000000001,0.8584937978755036,0.0063598676710243714,3,0.9136241874503298,0.006927931830140775,3,0.8851685529653558,0.0006022251072136362,3,0.9237491553163085,0.00048567396035463224,3,0.793993517603489,0.0009694066172960834,3,0.9432705068419519,0.0005882012337169094,3,0.09631681113978978,0.0049735245184574315,3,0.25470392204114317,0.003816543046102359,3,575.0,37.64306044943742,3,BDL-Hard
sleep,gru,density_hard,objective_e20_bs32_eval5,none,2.0,0.0,0.65,0.8363246296224635,0.003929835292457357,3,0.939949714370393,0.005236097407795645,3,0.8850993594293167,0.0007153821158450865,3,0.9229735635754165,0.00047581419448314803,3,0.7938823212938418,0.001151382454325987,3,0.9415968446180889,0.00043742344864589104,3,0.09547378321874161,0.004965165628318759,3,0.26897786566821086,0.002732282037029095,3,845.3333333333334,24.1936630821654,3,BDL-Hard
