dataset,model,run_tag,kernel,kernel_label,density_mAP,mse_mAP,delta_mAP,density_count,mse_count
sleep,gru,objective_e20_bs32_eval5,gau,Gaussian,0.6514676993362588,0.5834302570919555,0.0680374422443033,1,1
sleep,gru,objective_e20_bs32_eval5,hard,Hard,0.679692928365807,0.5991150696835107,0.08057785868229628,3,3
