dataset,model,objective,run_tag,smooth,scale,initial_prob,threshold,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,f1_mean,f1_std,f1_count,macro_f1_mean,macro_f1_std,macro_f1_count,iou_mean,iou_std,iou_count,accuracy_mean,accuracy_std,accuracy_count,brier_mean,brier_std,brier_count,pred_positive_rate_mean,pred_positive_rate_std,pred_positive_rate_count,abs_transition_count_error_mean,abs_transition_count_error_std,abs_transition_count_error_count,objective_label
sleep,gru,density_custom,objective_e20_bs32_eval5,none,4.0,0.5,0.8,0.8686997412095079,0.004714152022375554,3,0.9054735278475755,0.004469948442620421,3,0.8866981731043335,0.0033717357176205956,3,0.9250265429095146,0.0022414549709308916,3,0.7964689965882418,0.005434533467762621,3,0.9446211492923902,0.001679402274400615,3,0.092462515908829,0.008341961649531287,3,0.24945210014125707,0.001759899476485003,3,1083.0,65.19969325081216,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,4.0,0.2393167939518393,0.8,0.8689677944097808,0.0047058307946565535,3,0.9051328523034822,0.004347176224805244,3,0.8866743957974381,0.0032962729203230763,3,0.9250192415609422,0.0021934457424499973,3,0.7964301440866061,0.0053130839996324,3,0.9446287868300224,0.0016469782832747482,3,0.09061661464721482,0.008372599709030796,3,0.24928140384564443,0.0017542878790885175,3,1077.0,68.4324484437025,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,4.0,0.0,0.8,0.8691149485040511,0.004740031369700684,3,0.9048566741273829,0.004383851454699047,3,0.8866184725621428,0.003351841522095356,3,0.9249881113692897,0.002229748084369613,3,0.796340268246489,0.005402255734785131,3,0.9446148736932868,0.0016729241179864966,3,0.08985772282976758,0.00837814274993365,3,0.24916312883105296,0.0017493313438457126,3,1077.0,65.19969325081216,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,2.0,0.5,0.7000000000000001,0.8649244785463934,0.002109513374897402,3,0.9050463722685421,0.002956124986213849,3,0.8845263854433543,0.0008762256694193411,3,0.923540816076366,0.0005577562005600511,3,0.7929611215951734,0.0014089954449683045,3,0.9434486003331034,0.0003970103844647457,3,0.09671778825058869,0.006631585418151654,3,0.2504201980931579,0.00135107031961112,3,655.3333333333334,15.534906930308074,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,2.0,0.2393167939518393,0.7000000000000001,0.865595035950359,0.0021248073466974987,3,0.9037845448684086,0.0029992980329196176,3,0.8842733024649919,0.0009226534009814353,3,0.9234007825162879,0.0005877264974708125,3,0.7925544998189898,0.0014830616139879385,3,0.9433875000320455,0.00041715673712386945,3,0.09434615267035888,0.006652249556855788,3,0.2498773454183747,0.0013570996504259213,3,646.0,15.620499351813308,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,4.0,0.2393167939518393,0.75,0.8483913490489957,0.0017430060906131698,3,0.9229360228512613,0.0032628639297911837,3,0.8840910263785297,0.0009849180094460136,3,0.9227449038885464,0.0006165100995105009,3,0.7922618118839627,0.001582305039679676,3,0.942085112933011,0.00041613577075145673,3,0.09061661464721482,0.008372599709030796,3,0.26034627313800035,0.0013718023503334438,3,1287.3333333333333,40.820746359337114,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,4.0,0.5,0.75,0.8479696589081552,0.001705822068051463,3,0.9233782426944456,0.003271871182619966,3,0.8840648313204261,0.0010180451069784293,3,0.9227143592962271,0.0006384670496901694,3,0.7922198046202261,0.0016354577747481306,3,0.9420425723824929,0.0004314620439174211,3,0.092462515908829,0.008341961649531287,3,0.26060047495870386,0.0013582103251050352,3,1302.6666666666667,36.66515148384543,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,4.0,0.0,0.75,0.8485345647439528,0.001779412207972417,3,0.9226743510036036,0.0033063155042868135,3,0.8840485700876982,0.0010070941618271277,3,0.9227226711357278,0.0006314457734633845,3,0.792193667722655,0.0016177856388779504,3,0.9420775555094099,0.00042780305254405335,3,0.08985772282976758,0.00837814274993365,3,0.26022858562630374,0.00139076325792402,3,1282.6666666666667,42.35957192103495,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,2.0,0.0,0.7000000000000001,0.8661506805988064,0.00207422782574563,3,0.9016439687261412,0.0031712334914008387,3,0.883536168221971,0.0007771652830556781,3,0.9229512523800943,0.0004743925857289125,3,0.7913707451251949,0.0012472975460148777,3,0.9431145515280629,0.0003107790553630747,3,0.09345766170109016,0.006643265385855383,3,0.24912574228320286,0.0014274091280369358,3,620.0,14.0,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,4.0,0.5,0.8500000000000001,0.8864949586432119,0.0057308126824029545,3,0.8733281735438938,0.008914903452481292,3,0.8798465771137934,0.0059931612683700175,3,0.9212083524182074,0.003871854086061022,3,0.7855036913515794,0.00952873614891602,3,0.9429215835318026,0.002720292255309901,3,0.092462515908829,0.008341961649531287,3,0.23576581963703858,0.002448542085770997,3,801.6666666666666,55.139217743211894,3,BDL-Tolerance
