dataset,model,objective,run_tag,method,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,f1_mean,f1_std,f1_count,macro_f1_mean,macro_f1_std,macro_f1_count,iou_mean,iou_std,iou_count,accuracy_mean,accuracy_std,accuracy_count,brier_mean,brier_std,brier_count,pred_positive_rate_mean,pred_positive_rate_std,pred_positive_rate_count,true_positive_rate_mean,true_positive_rate_std,true_positive_rate_count,transition_count_error_mean,transition_count_error_std,transition_count_error_count,abs_transition_count_error_mean,abs_transition_count_error_std,abs_transition_count_error_count,objective_label,method_label
sleep,gru,density_hard,objective_e20_bs32_eval5,hazard,0.8539965820166154,0.008806913379828056,3,0.9411288556984094,0.004223479380196154,3,0.8954154768756841,0.0029519605902920795,3,0.9301298781642077,0.0021565117320091654,3,0.8106441570121411,0.004833767318263904,3,0.9473781668542403,0.0018981350022621826,3,0.08630906679593153,0.0058672515724712505,3,0.26376092007653346,0.003914966847753446,3,0.23931679395183933,0.0,3,1244.3333333333333,39.71565602295064,3,1244.3333333333333,39.71565602295064,3,BDL-Hard,Hazard-recursion occupancy
sleep,gru,density_hard,objective_e20_bs32_eval5,integral,0.39325903859232686,0.02466481088392521,3,0.5550127956975569,0.04277244694787326,3,0.46029503877650396,0.031310172222830314,3,0.6207873689510106,0.02091705189839687,3,0.2993126037055363,0.026735503188186887,3,0.6887294566260499,0.0161567341032585,3,0.31127054337395005,0.016156734103258578,3,0.33760151515928377,0.008322477960750665,3,0.23931679395183933,0.0,3,-6228.0,403.5504925037262,3,6228.0,403.5504925037262,3,BDL-Hard,Integrated boundary-rate difference
sleep,gru,density_hard,objective_e20_bs32_eval5,peak_fill,0.7757949594819099,0.012092019660784999,3,0.9819011235262964,0.0012878804586071667,3,0.8667245919112098,0.0071310879108105775,3,0.9085616956352157,0.005202402644859588,3,0.7648427164490657,0.011116820580281385,3,0.9277055523082668,0.004527308904700877,3,0.07229444769173317,0.004527308904700888,3,0.3029485114599383,0.005027560053265529,3,0.23931679395183933,0.0,3,1349.0,135.5027674994131,3,1349.0,135.5027674994131,3,BDL-Hard,Boundary peaks to intervals
