phase,name,status,dataset,model,objective,seed,run_tag,target_epochs,target_folds,target_batch_size,target_downsample,target_eval_every,completed_folds,recorded_epochs,latest_fold,latest_epoch,latest_epoch_total,latest_train_loss,latest_valid_mAP,latest_eval_fold,latest_eval_epoch,latest_eval_valid_mAP,best_eval_fold,best_eval_epoch,best_eval_valid_mAP,avg_epoch_runtime_sec,avg_eval_epoch_runtime_sec,avg_train_epoch_runtime_sec,estimated_current_fold_remaining_min,actual_epochs,actual_batch_size,actual_downsample,actual_eval_every,lr,density_prior,mean_best_epoch,mean_valid_mAP,mean_valid_loss,tuned_mAP,tuned_mf1,strict3_tuned_mAP,strict3_tuned_mf1,strict3_score_file,score_required,purpose,run_dir
P3,core_model_main_table,scored,sleep,gru,density_hard,1,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,20.0,0.6772295290018386,0.0016290516160960252,0.6855994376120669,0.7261896430868044,,,,True,Main table: density likelihood versus strongest non-density baselines.,experiments/sleep/gru/density_hard/seed_1_objective_e20_bs32_eval5
P3,core_model_main_table,scored,sleep,gru,density_hard,2,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,20.0,0.6794522927763522,0.0016045339527224,0.683004424421913,0.7325707001877424,,,,True,Main table: density likelihood versus strongest non-density baselines.,experiments/sleep/gru/density_hard/seed_2_objective_e20_bs32_eval5
P3,core_model_main_table,scored,sleep,gru,seg,0,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,18.75,0.4391626806676997,0.12586380438850203,0.5708911028714023,0.6600968076746483,,,,True,Main table: density likelihood versus strongest non-density baselines.,experiments/sleep/gru/seg/seed_0_objective_e20_bs32_eval5
P3,core_model_main_table,scored,sleep,gru,seg,1,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,18.75,0.4170128460358195,0.12342067440859893,0.5767763385764865,0.6618785529799798,,,,True,Main table: density likelihood versus strongest non-density baselines.,experiments/sleep/gru/seg/seed_1_objective_e20_bs32_eval5
P3,core_model_main_table,scored,sleep,gru,seg,2,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,17.5,0.47754334443847524,0.12348408126749486,0.5784484520481392,0.6575913289174622,,,,True,Main table: density likelihood versus strongest non-density baselines.,experiments/sleep/gru/seg/seed_2_objective_e20_bs32_eval5
P3,core_model_main_table,scored,sleep,unet,density_hard,0,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,20.0,0.5718903900698535,0.0017359713151964252,0.5797117156024607,0.6258213843682299,,,,True,Main table: density likelihood versus strongest non-density baselines.,experiments/sleep/unet/density_hard/seed_0_objective_e20_bs32_eval5
P3,core_model_main_table,scored,sleep,unet,density_hard,1,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,20.0,0.5713625957416244,0.001728668527456875,0.5778502001611132,0.6301354926354101,,,,True,Main table: density likelihood versus strongest non-density baselines.,experiments/sleep/unet/density_hard/seed_1_objective_e20_bs32_eval5
P3,core_model_main_table,scored,sleep,unet,density_hard,2,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,20.0,0.5662987006893796,0.00173147560941195,0.5750773272279228,0.6223836795782915,,,,True,Main table: density likelihood versus strongest non-density baselines.,experiments/sleep/unet/density_hard/seed_2_objective_e20_bs32_eval5
P3,core_model_main_table,scored,sleep,unet,seg,0,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,20.0,0.4301795551716581,0.15325394891564947,0.4393287829216509,0.5210548520811469,,,,True,Main table: density likelihood versus strongest non-density baselines.,experiments/sleep/unet/seg/seed_0_objective_e20_bs32_eval5
P3,core_model_main_table,scored,sleep,unet,seg,1,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,20.0,0.43955807796830154,0.15309405591817063,0.4464184083656597,0.5225748539020466,,,,True,Main table: density likelihood versus strongest non-density baselines.,experiments/sleep/unet/seg/seed_1_objective_e20_bs32_eval5
P3,core_model_main_table,scored,sleep,unet,seg,2,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,16.25,0.4469168519716492,0.28027785451587206,0.3620002773086759,0.4870486442336434,,,,True,Main table: density likelihood versus strongest non-density baselines.,experiments/sleep/unet/seg/seed_2_objective_e20_bs32_eval5
P3,core_model_main_table,scored,sleep,unet_t,density_hard,0,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,15.0,0.4495871625704925,0.00231399904914115,0.4484291573198458,0.5071739374976474,,,,True,Main table: density likelihood versus strongest non-density baselines.,experiments/sleep/unet_t/density_hard/seed_0_objective_e20_bs32_eval5
P3,core_model_main_table,scored,sleep,unet_t,density_hard,1,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,17.5,0.4465603663392872,0.0022640976828044,0.4407260945891453,0.5088582724614443,,,,True,Main table: density likelihood versus strongest non-density baselines.,experiments/sleep/unet_t/density_hard/seed_1_objective_e20_bs32_eval5
P3,core_model_main_table,scored,sleep,unet_t,density_hard,2,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,20.0,0.45395114102140155,0.0021718250963883253,0.4415163443928859,0.5214272614999786,,,,True,Main table: density likelihood versus strongest non-density baselines.,experiments/sleep/unet_t/density_hard/seed_2_objective_e20_bs32_eval5
P3,core_model_main_table,scored,sleep,unet_t,seg,0,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,18.75,0.33615085678820716,0.21360036005877248,0.3559060842707397,0.4478847165841746,,,,True,Main table: density likelihood versus strongest non-density baselines.,experiments/sleep/unet_t/seg/seed_0_objective_e20_bs32_eval5
P3,core_model_main_table,scored,sleep,unet_t,seg,1,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,17.5,0.25200504636571497,0.3244708950382582,0.2670675891861006,0.3703820375244857,,,,True,Main table: density likelihood versus strongest non-density baselines.,experiments/sleep/unet_t/seg/seed_1_objective_e20_bs32_eval5
P3,core_model_main_table,scored,sleep,unet_t,seg,2,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,15.0,0.18039030982265883,0.3802594256708803,0.2025798284109297,0.2971747689942718,,,,True,Main table: density likelihood versus strongest non-density baselines.,experiments/sleep/unet_t/seg/seed_2_objective_e20_bs32_eval5
P4,kernel_and_segmentation_ablation,scored,sleep,gru,density_gau,0,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,20.0,0.6487628020569002,0.0019513875375418,0.6514676993362588,0.7089770172779496,,,,True,Appendix ablations for BDL kernel choice and stronger segmentation losses.,experiments/sleep/gru/density_gau/seed_0_objective_e20_bs32_eval5
P4,kernel_and_segmentation_ablation,scored,sleep,gru,density_gau,1,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,18.75,0.6584434337969122,0.0019508660595802,0.6602551407858877,0.7126361856148165,,,,True,Appendix ablations for BDL kernel choice and stronger segmentation losses.,experiments/sleep/gru/density_gau/seed_1_objective_e20_bs32_eval5
P4,kernel_and_segmentation_ablation,scored,sleep,gru,density_gau,2,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,20.0,0.6654290755303347,0.0019369615380022249,0.6690689029677553,0.7198907308402238,,,,True,Appendix ablations for BDL kernel choice and stronger segmentation losses.,experiments/sleep/gru/density_gau/seed_2_objective_e20_bs32_eval5
P4,kernel_and_segmentation_ablation,scored,sleep,gru,density_custom,0,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,20.0,0.5789545222177193,0.0022333080448741997,0.5915284931144524,0.6766997986442229,,,,True,Appendix ablations for BDL kernel choice and stronger segmentation losses.,experiments/sleep/gru/density_custom/seed_0_objective_e20_bs32_eval5
P4,kernel_and_segmentation_ablation,scored,sleep,gru,density_custom,1,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,20.0,0.5850446275319399,0.002236630635253275,0.6034150430511749,0.6826560071213048,,,,True,Appendix ablations for BDL kernel choice and stronger segmentation losses.,experiments/sleep/gru/density_custom/seed_1_objective_e20_bs32_eval5
P4,kernel_and_segmentation_ablation,scored,sleep,gru,density_custom,2,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,18.75,0.6100442271610118,0.002222995497100075,0.6198218402943414,0.6919531827486268,,,,True,Appendix ablations for BDL kernel choice and stronger segmentation losses.,experiments/sleep/gru/density_custom/seed_2_objective_e20_bs32_eval5
P4,kernel_and_segmentation_ablation,scored,sleep,gru,seg_weighted,0,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,15.0,0.4963586157123307,0.201110154378573,0.551820626356865,0.6434071580078717,,,,True,Appendix ablations for BDL kernel choice and stronger segmentation losses.,experiments/sleep/gru/seg_weighted/seed_0_objective_e20_bs32_eval5
P4,kernel_and_segmentation_ablation,scored,sleep,gru,seg_weighted,1,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,16.25,0.43414560825095866,0.19990772779194121,0.5341888245123776,0.621600559253794,,,,True,Appendix ablations for BDL kernel choice and stronger segmentation losses.,experiments/sleep/gru/seg_weighted/seed_1_objective_e20_bs32_eval5
P4,kernel_and_segmentation_ablation,scored,sleep,gru,seg_weighted,2,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,16.25,0.49688597945182783,0.20015860427591334,0.5459575637186234,0.6347853052686528,,,,True,Appendix ablations for BDL kernel choice and stronger segmentation losses.,experiments/sleep/gru/seg_weighted/seed_2_objective_e20_bs32_eval5
P4,kernel_and_segmentation_ablation,scored,sleep,gru,seg_focal,0,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,13.75,0.3594692725525783,0.0166433385666363,0.5142161181162086,0.6051642115005316,,,,True,Appendix ablations for BDL kernel choice and stronger segmentation losses.,experiments/sleep/gru/seg_focal/seed_0_objective_e20_bs32_eval5
P4,kernel_and_segmentation_ablation,scored,sleep,gru,seg_focal,1,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,16.25,0.3704657557232394,0.015348169079275026,0.5334157118303486,0.622432270717534,,,,True,Appendix ablations for BDL kernel choice and stronger segmentation losses.,experiments/sleep/gru/seg_focal/seed_1_objective_e20_bs32_eval5
P4,kernel_and_segmentation_ablation,scored,sleep,gru,seg_focal,2,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,16.25,0.36510616118248795,0.014909840464870552,0.5262343802477801,0.6203076193360177,,,,True,Appendix ablations for BDL kernel choice and stronger segmentation losses.,experiments/sleep/gru/seg_focal/seed_2_objective_e20_bs32_eval5
P4G,gaussian_kernel_architecture_ablation,scored,sleep,unet,density_gau,0,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,20.0,0.571990715091073,0.002077111740155525,0.5795332676758338,0.6308030606399753,,,,True,Test the Gaussian label-error target across non-GRU core architectures.,experiments/sleep/unet/density_gau/seed_0_objective_e20_bs32_eval5
P4G,gaussian_kernel_architecture_ablation,scored,sleep,unet,density_gau,1,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,20.0,0.5712042902479146,0.002075694214157775,0.575941590211742,0.6306908135437592,,,,True,Test the Gaussian label-error target across non-GRU core architectures.,experiments/sleep/unet/density_gau/seed_1_objective_e20_bs32_eval5
P4G,gaussian_kernel_architecture_ablation,scored,sleep,unet,density_gau,2,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,20.0,0.566638525859102,0.002084158780651225,0.573277554780818,0.6205717817651688,,,,True,Test the Gaussian label-error target across non-GRU core architectures.,experiments/sleep/unet/density_gau/seed_2_objective_e20_bs32_eval5
P4G,gaussian_kernel_architecture_ablation,scored,sleep,unet_t,density_gau,0,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,17.5,0.48652827120116904,0.0023927927970799,0.4645568175699485,0.5430014262291702,,,,True,Test the Gaussian label-error target across non-GRU core architectures.,experiments/sleep/unet_t/density_gau/seed_0_objective_e20_bs32_eval5
P4G,gaussian_kernel_architecture_ablation,scored,sleep,unet_t,density_gau,1,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,18.75,0.45452629437693326,0.002734642298895975,0.3957986003971154,0.4853103595297469,,,,True,Test the Gaussian label-error target across non-GRU core architectures.,experiments/sleep/unet_t/density_gau/seed_1_objective_e20_bs32_eval5
P4G,gaussian_kernel_architecture_ablation,scored,sleep,unet_t,density_gau,2,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,18.75,0.4607014815121002,0.0024845931361444,0.4486179751843714,0.5243989634494427,,,,True,Test the Gaussian label-error target across non-GRU core architectures.,experiments/sleep/unet_t/density_gau/seed_2_objective_e20_bs32_eval5
P5,prior_ablation,scored,sleep,gru,density_custom,0,prior_sparse_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,20.0,0.5789545222177193,0.0022333080448741997,0.5915284931144524,0.6766997986442229,,,,True,Measure whether sparse-intensity initialization matters.,experiments/sleep/gru/density_custom/seed_0_prior_sparse_e20_bs32_eval5
P5,prior_ablation,scored,sleep,gru,density_custom,0,prior_none_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,none,20.0,0.018519334022925125,0.003416290063408275,0.0154553441282828,0.044501283600751,,,,True,Measure whether sparse-intensity initialization matters.,experiments/sleep/gru/density_custom/seed_0_prior_none_e20_bs32_eval5
P5,prior_ablation,scored,sleep,gru,density_custom,1,prior_sparse_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,20.0,0.5850446275319399,0.002236630635253275,0.6034150430511749,0.6826560071213048,,,,True,Measure whether sparse-intensity initialization matters.,experiments/sleep/gru/density_custom/seed_1_prior_sparse_e20_bs32_eval5
P5,prior_ablation,scored,sleep,gru,density_custom,1,prior_none_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,none,20.0,0.023002358713488574,0.003418851096302175,0.0185949665816411,0.0502000782245252,,,,True,Measure whether sparse-intensity initialization matters.,experiments/sleep/gru/density_custom/seed_1_prior_none_e20_bs32_eval5
P5,prior_ablation,scored,sleep,gru,density_custom,2,prior_sparse_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,18.75,0.6100442271610118,0.002222995497100075,0.6198218402943414,0.6919531827486268,,,,True,Measure whether sparse-intensity initialization matters.,experiments/sleep/gru/density_custom/seed_2_prior_sparse_e20_bs32_eval5
P5,prior_ablation,scored,sleep,gru,density_custom,2,prior_none_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,none,20.0,0.017507650910383,0.0034208061837341748,0.0146690363955968,0.0429720590398678,,,,True,Measure whether sparse-intensity initialization matters.,experiments/sleep/gru/density_custom/seed_2_prior_none_e20_bs32_eval5
P6,target_width_ablation,scored,sleep,gru,density_custom,0,tol05_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,17.5,0.6352670759645082,0.002047753688461325,0.6398977624552431,0.7039795851272769,,,,True,Appendix sensitivity of tolerance-derived density target width.,experiments/sleep/gru/density_custom/seed_0_tol05_e20_bs32_eval5
P6,target_width_ablation,scored,sleep,gru,density_custom,0,tol15_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,20.0,0.5475563793967766,0.00235486099004695,0.5634040205543966,0.6524127531931866,,,,True,Appendix sensitivity of tolerance-derived density target width.,experiments/sleep/gru/density_custom/seed_0_tol15_e20_bs32_eval5
P7,online_model_ablation,scored,sleep,fgru,density_hard,0,online_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,18.75,0.20143187513407146,0.0026300663978275247,0.2042284191775852,0.3230823775737093,,,,True,Show whether the likelihood gain persists in causal/online models.,experiments/sleep/fgru/density_hard/seed_0_online_e20_bs32_eval5
P7,online_model_ablation,scored,sleep,fgru,density_hard,1,online_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,17.5,0.2143076566388072,0.0026109901767863,0.2282009680911088,0.3423199129111952,,,,True,Show whether the likelihood gain persists in causal/online models.,experiments/sleep/fgru/density_hard/seed_1_online_e20_bs32_eval5
P7,online_model_ablation,scored,sleep,fgru,density_hard,2,online_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,16.25,0.21642133985009063,0.0025776407584362252,0.2239545357405069,0.3524519678300574,,,,True,Show whether the likelihood gain persists in causal/online models.,experiments/sleep/fgru/density_hard/seed_2_online_e20_bs32_eval5
P7,online_model_ablation,scored,sleep,fgru,seg,0,online_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,12.5,0.21275518830950374,0.19023223344668527,0.280923887102096,0.367594858401725,,,,True,Show whether the likelihood gain persists in causal/online models.,experiments/sleep/fgru/seg/seed_0_online_e20_bs32_eval5
P7,online_model_ablation,scored,sleep,fgru,seg,1,online_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,15.0,0.20696362397523124,0.17237789503069237,0.2927111610949143,0.3819102222497406,,,,True,Show whether the likelihood gain persists in causal/online models.,experiments/sleep/fgru/seg/seed_1_online_e20_bs32_eval5
P7,online_model_ablation,scored,sleep,fgru,seg,2,online_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,12.5,0.2134338666607562,0.1882511482377368,0.2906038176812926,0.3757884894294049,,,,True,Show whether the likelihood gain persists in causal/online models.,experiments/sleep/fgru/seg/seed_2_online_e20_bs32_eval5
P7,online_model_ablation,scored,sleep,flstm,density_hard,0,online_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,18.75,0.12175989455708378,0.002828823104590825,0.1296913524023161,0.2294830686616389,,,,True,Show whether the likelihood gain persists in causal/online models.,experiments/sleep/flstm/density_hard/seed_0_online_e20_bs32_eval5
P7,online_model_ablation,scored,sleep,flstm,density_hard,1,online_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,18.75,0.09988006039382843,0.00292274487977875,0.0910694695871652,0.175127519866781,,,,True,Show whether the likelihood gain persists in causal/online models.,experiments/sleep/flstm/density_hard/seed_1_online_e20_bs32_eval5
P7,online_model_ablation,scored,sleep,flstm,density_hard,2,online_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,17.5,0.12537196927224697,0.0028487807293859505,0.1202372550725028,0.2252488046226889,,,,True,Show whether the likelihood gain persists in causal/online models.,experiments/sleep/flstm/density_hard/seed_2_online_e20_bs32_eval5
P7,online_model_ablation,scored,sleep,flstm,seg,0,online_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,12.5,0.19868508385915803,0.19475781076335139,0.2752844405798641,0.3790736551035042,,,,True,Show whether the likelihood gain persists in causal/online models.,experiments/sleep/flstm/seg/seed_0_online_e20_bs32_eval5
P7,online_model_ablation,scored,sleep,flstm,seg,1,online_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,5.0,0.22267204865011386,0.22609692962095906,0.2320444467798752,0.336008818595968,,,,True,Show whether the likelihood gain persists in causal/online models.,experiments/sleep/flstm/seg/seed_1_online_e20_bs32_eval5
