dataset,model,objective,run_tag,smooth,scale,initial_prob,threshold,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,f1_mean,f1_std,f1_count,macro_f1_mean,macro_f1_std,macro_f1_count,iou_mean,iou_std,iou_count,accuracy_mean,accuracy_std,accuracy_count,brier_mean,brier_std,brier_count,pred_positive_rate_mean,pred_positive_rate_std,pred_positive_rate_count,abs_transition_count_error_mean,abs_transition_count_error_std,abs_transition_count_error_count,objective_label
sleep,gru,density_custom,objective_e20_bs32_eval5,none,4.0,0.2393167939518393,0.8333333333333333,0.8806086322079594,0.005106647057736933,3,0.8864110964039259,0.0066304909372282535,3,0.8834908789475989,0.004729071648342707,3,0.9233390786085002,0.0030858644069654785,3,0.7913188886121943,0.0075737535678458675,3,0.9440522862621741,0.0022185932955069085,3,0.0906166146479347,0.00837259970711018,3,0.24089704321543112,0.0019342710981714855,3,908.6666666666666,41.40450861118067,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,4.0,0.0,0.8333333333333333,0.8807910747356215,0.0051125381852284695,3,0.8860347129744378,0.006686495856685446,3,0.8833953668994726,0.0047316922592374805,3,0.9232839358690222,0.0030862642449035966,3,0.791165681560806,0.007576162174555725,3,0.9440242196466095,0.0022169782666546563,3,0.08985772282977843,0.00837814274792831,3,0.24074496007971238,0.001962296145682639,3,904.0,39.153543900903784,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,4.0,0.0,0.6666666666666666,0.8130361438507677,0.012344867866685944,3,0.9399467015175628,0.0021325622982528497,3,0.8718719275523336,0.007897582975367747,3,0.9136497321859688,0.005532013925062981,3,0.7729063650193734,0.012429245940327894,3,0.9338633570812686,0.004538532453823448,3,0.08985772282977843,0.00837814274792831,3,0.2767099111524713,0.0036780484585030616,3,1518.0,36.16628264005025,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,4.0,0.2393167939518393,0.6666666666666666,0.8127849926258855,0.01236210361009375,3,0.9402713085132285,0.00216384413222137,3,0.8718670570010584,0.007921838551523945,3,0.9136358728200387,0.005549224007959099,3,0.7728990671752051,0.012467326749222527,3,0.9338375603632519,0.004552851943476212,3,0.0906166146479347,0.00837259970711018,3,0.27689107568148197,0.0036818251307193027,3,1527.3333333333333,32.5166623953525,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,4.0,1.0,0.8333333333333333,0.8520621594387047,0.004458424940213362,3,0.8877550519404669,0.00669074511001891,3,0.8695318230480181,0.004205216745333739,3,0.913674482614211,0.0027415848137348968,3,0.7691948020361988,0.0065713208724816575,3,0.9362471500768668,0.0019735123672518944,3,0.09897724601628007,0.008211742236290422,3,0.2493454416611762,0.0021435141666239447,3,933.0,44.91102314577124,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,4.0,1.0,0.6666666666666666,0.7826569865214404,0.01134053603631487,3,0.9407736738258744,0.002287117621319877,3,0.8544399826691781,0.007569177988501036,3,0.9011715190859828,0.005375636434768155,3,0.7459218695930813,0.011550969959073364,3,0.9232696117011777,0.004503938611883092,3,0.09897724601628007,0.008211742236290422,3,0.28769947325558637,0.003602875193956785,3,1472.3333333333333,31.005375877955927,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,1.0,0.2393167939518393,0.5,0.725686304994305,0.05169283065915625,3,0.9643311701050012,0.0007876159511001246,3,0.8274745526797466,0.03441015476511981,3,0.880039186165206,0.02602076914674925,3,0.7066862266671192,0.0493930527668855,3,0.9031190101409409,0.02363987113121389,3,0.13166342944455778,0.004639171012362191,3,0.3191254837819292,0.02335000134567378,3,1021.0,47.65501022977542,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,1.0,0.0,0.5,0.7263712755394672,0.05239946867898026,3,0.9583776613254366,0.0007064110452760347,3,0.8256983955640717,0.03466842619002614,3,0.878992026837684,0.02618461255354384,3,0.7041165837780333,0.04962271648455734,3,0.9025110514635445,0.02376603296418164,3,0.1307316721744938,0.004612935469411302,3,0.3168838931915465,0.02346805412845068,3,959.0,47.634021455258214,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,1.0,0.2393167939518393,0.6666666666666666,0.8831343058737166,0.005671872709864315,3,0.7282116620614653,0.005932627045496061,3,0.7982116412170713,0.004303469980340133,3,0.8709256993108992,0.002702162709932716,3,0.6642007432964973,0.00595333517743874,3,0.9118895471057685,0.0017865392993358052,3,0.13166342944455778,0.004639171012362191,3,0.1973402195081725,0.0020274918380634426,3,1381.6666666666667,73.05021104235996,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,1.0,1.0,0.5,0.6762214650009456,0.04461303853969357,3,0.9684659200594178,0.0009750432288639933,3,0.7958199405778726,0.031514038113769974,3,0.8556267299382506,0.0248109397693122,3,0.6616306572811003,0.04295887116055469,3,0.8804573410943535,0.023483722590167316,3,0.1466685151940518,0.004498765152671225,3,0.3437661830342837,0.023277115107153242,3,727.6666666666666,61.231800017093526,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,4.0,0.0,0.5,0.6714162850670625,0.04917641884565917,3,0.9607974284966333,0.0007502382963695458,3,0.7897707330810545,0.034734309556770364,3,0.8513001227975749,0.02744810178820958,3,0.653476376951846,0.04688030332879103,3,0.8768301249266156,0.02608260708488308,3,0.08985772282977843,0.00837814274792831,3,0.34372300157151686,0.02582833809015091,3,1879.3333333333333,106.92676621563629,3,BDL-Tolerance
