setting,run_tag,BDL-Hard,BDL-Gaussian,BDL-Tolerance,Cross-entropy,seeds
"GRU 3x128, 2 s stride",seizure_highscore_gru3l128h_ds512_bs8_e20,0.317,0.360,0.267,0.252,1
"GRU 3x128, 1 s stride",seizure_highscore_gru3l128h_ds256_bs8_e20,0.388,0.356,0.278,0.287,1
