dataset,model,objective,run_tag,postprocess_objective,tolerance,mean,std,count
seizure,gru_3l_128h,density_custom,seizure_highscore_gru3l128h_ds256_bs8_e20,density_custom,512.0,0.0539579292297563,,1
seizure,gru_3l_128h,density_custom,seizure_highscore_gru3l128h_ds256_bs8_e20,density_custom,1280.0,0.1462843569725603,,1
seizure,gru_3l_128h,density_custom,seizure_highscore_gru3l128h_ds256_bs8_e20,density_custom,2560.0,0.3224825987063403,,1
seizure,gru_3l_128h,density_custom,seizure_highscore_gru3l128h_ds256_bs8_e20,density_custom,5120.0,0.4925213927970368,,1
seizure,gru_3l_128h,density_custom,seizure_highscore_gru3l128h_ds256_bs8_e20,density_custom,15360.0,0.6458259154638969,,1
seizure,gru_3l_128h,density_gau,seizure_highscore_gru3l128h_ds256_bs8_e20,density_gau,256.0,0.0565160035593443,,1
seizure,gru_3l_128h,density_gau,seizure_highscore_gru3l128h_ds256_bs8_e20,density_gau,512.0,0.15892622550407,,1
seizure,gru_3l_128h,density_gau,seizure_highscore_gru3l128h_ds256_bs8_e20,density_gau,1280.0,0.3344251930422149,,1
seizure,gru_3l_128h,density_gau,seizure_highscore_gru3l128h_ds256_bs8_e20,density_gau,2560.0,0.4364337129845613,,1
seizure,gru_3l_128h,density_gau,seizure_highscore_gru3l128h_ds256_bs8_e20,density_gau,5120.0,0.527792719324705,,1
seizure,gru_3l_128h,density_gau,seizure_highscore_gru3l128h_ds256_bs8_e20,density_gau,15360.0,0.6236021823261916,,1
seizure,gru_3l_128h,density_hard,seizure_highscore_gru3l128h_ds256_bs8_e20,density_hard,256.0,0.0850512747970436,,1
seizure,gru_3l_128h,density_hard,seizure_highscore_gru3l128h_ds256_bs8_e20,density_hard,512.0,0.1650696065386691,,1
seizure,gru_3l_128h,density_hard,seizure_highscore_gru3l128h_ds256_bs8_e20,density_hard,1280.0,0.3508216030518719,,1
seizure,gru_3l_128h,density_hard,seizure_highscore_gru3l128h_ds256_bs8_e20,density_hard,2560.0,0.4663826209703561,,1
seizure,gru_3l_128h,density_hard,seizure_highscore_gru3l128h_ds256_bs8_e20,density_hard,5120.0,0.5876228726612172,,1
seizure,gru_3l_128h,density_hard,seizure_highscore_gru3l128h_ds256_bs8_e20,density_hard,15360.0,0.6738683436880593,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds256_bs8_e20,seg1,256.0,0.0108693855384553,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds256_bs8_e20,seg2,256.0,0.0035898908211676,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds256_bs8_e20,seg1,512.0,0.0341673327323479,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds256_bs8_e20,seg2,512.0,0.0075067764600587,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds256_bs8_e20,seg1,1280.0,0.1521283268233898,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds256_bs8_e20,seg2,1280.0,0.015252353838538,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds256_bs8_e20,seg1,2560.0,0.3435488427893316,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds256_bs8_e20,seg2,2560.0,0.0329207924572127,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds256_bs8_e20,seg1,5120.0,0.5247014186951151,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds256_bs8_e20,seg2,5120.0,0.0926039860037585,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds256_bs8_e20,seg1,15360.0,0.6563608509964883,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds256_bs8_e20,seg2,15360.0,0.4688660637951034,,1
seizure,gru_3l_128h,density_custom,seizure_highscore_gru3l128h_ds512_bs8_e20,density_custom,256.0,0.0137110901644536,,1
seizure,gru_3l_128h,density_custom,seizure_highscore_gru3l128h_ds512_bs8_e20,density_custom,512.0,0.0474723331954707,,1
seizure,gru_3l_128h,density_custom,seizure_highscore_gru3l128h_ds512_bs8_e20,density_custom,1280.0,0.1449473083283782,,1
seizure,gru_3l_128h,density_custom,seizure_highscore_gru3l128h_ds512_bs8_e20,density_custom,2560.0,0.2773682393465563,,1
seizure,gru_3l_128h,density_custom,seizure_highscore_gru3l128h_ds512_bs8_e20,density_custom,5120.0,0.4731368401424041,,1
seizure,gru_3l_128h,density_custom,seizure_highscore_gru3l128h_ds512_bs8_e20,density_custom,15360.0,0.6452468595088631,,1
seizure,gru_3l_128h,density_gau,seizure_highscore_gru3l128h_ds512_bs8_e20,density_gau,256.0,0.0387892271423044,,1
seizure,gru_3l_128h,density_gau,seizure_highscore_gru3l128h_ds512_bs8_e20,density_gau,512.0,0.1519587245142691,,1
seizure,gru_3l_128h,density_gau,seizure_highscore_gru3l128h_ds512_bs8_e20,density_gau,1280.0,0.3180651452018758,,1
seizure,gru_3l_128h,density_gau,seizure_highscore_gru3l128h_ds512_bs8_e20,density_gau,2560.0,0.4232589290750552,,1
seizure,gru_3l_128h,density_gau,seizure_highscore_gru3l128h_ds512_bs8_e20,density_gau,5120.0,0.5456349642580485,,1
seizure,gru_3l_128h,density_gau,seizure_highscore_gru3l128h_ds512_bs8_e20,density_gau,15360.0,0.6834334323489899,,1
seizure,gru_3l_128h,density_hard,seizure_highscore_gru3l128h_ds512_bs8_e20,density_hard,256.0,0.0454918389510755,,1
seizure,gru_3l_128h,density_hard,seizure_highscore_gru3l128h_ds512_bs8_e20,density_hard,512.0,0.1201079000275647,,1
seizure,gru_3l_128h,density_hard,seizure_highscore_gru3l128h_ds512_bs8_e20,density_hard,1280.0,0.267002417732477,,1
seizure,gru_3l_128h,density_hard,seizure_highscore_gru3l128h_ds512_bs8_e20,density_hard,2560.0,0.379299413995913,,1
seizure,gru_3l_128h,density_hard,seizure_highscore_gru3l128h_ds512_bs8_e20,density_hard,5120.0,0.49184108244124,,1
seizure,gru_3l_128h,density_hard,seizure_highscore_gru3l128h_ds512_bs8_e20,density_hard,15360.0,0.6000076750334847,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds512_bs8_e20,seg1,256.0,0.010881962707801,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds512_bs8_e20,seg2,256.0,6.308868980108239e-05,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds512_bs8_e20,seg1,512.0,0.039990038782966,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds512_bs8_e20,seg2,512.0,0.0016980504916603,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds512_bs8_e20,seg1,1280.0,0.1170222800746216,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds512_bs8_e20,seg2,1280.0,0.010649296285082,,1
