setting,run_tag,BDL-Hard,BDL-Gaussian,BDL-Tolerance,Cross-entropy,seeds
"GRU 3x128, 2 s stride",seizure_highscore_gru3l128h_ds512_bs8_e20,0.120,0.138,0.048,0.036,1
"GRU 3x128, 1 s stride",seizure_highscore_gru3l128h_ds256_bs8_e20,0.164,0.146,0.047,0.046,1
